Part,Quantity,Link,Price
Variable Buck-Boost Converter,1,https://ar.aliexpress.com/item/1005007635502349.html,~15$
Banana Sockets,6,https://ar.aliexpress.com/item/1005007170383731.html,~5$ / 10 Sockets
10 AMP Fuse + Fuse Holder,6,https://ar.aliexpress.com/item/1005002366366037.html,~1.5$ / Fuse
12V Cigarette Socket,1,https://ar.aliexpress.com/item/1005007476823331.html,~3$
Rubber Feet w/ Screws,4,https://ar.aliexpress.com/item/1005012536930473.html,~5$ / Pack
M3/M4 Heatset Inserts,4,https://ar.aliexpress.com/item/1005010808279352.html,~5$ / Pack
M3 Screws (M3x6),4,https://ar.aliexpress.com/item/1005007170017044.html,~2$ / 50 Pieces
10-ohm 25-W Dummy Load Resistor,1,https://ar.aliexpress.com/item/1005007810348834.html,~2$
Second Hand ATX PSU,1,"Buy from FB marketplace, Ebay or local sellers",~30$
